,name,year,county,time,humans,seed,sheep,lynx,wolf,predators,popst,red_fox,north,east,habitat1,habitat2
180,Vastern,37,4,10,3.6,1179,2474,0.303,0,0.303,"83,920",12.7,962,387,-4.781058813,-2.548038063
181,Gavle,37,5,10,5.4,1628,4262,1.367,1.063,2.43,"107,250",11.9,756,336,-4.062374376,-1.464477498
182,Koppar,37,6,10,4.6,2184,4013,0.888,0.822,1.71,"139,538",6.3,696,221,-5.0056477,-2.88665074
183,Varm,37,7,10,9.6,4546,3456,2.373,3.353,5.726,"186,783",36.6,564,140,-3.511004297,-2.628673034
184,Upps,37,8,10,11.8,7720,8312,2.914,4.025,6.939,"84,777",46.9,588,422,3.657268978,-0.911660981
185,Vastml,37,9,10,13.8,6313,5168,5.443,3.024,8.467,"91,461",44.8,557,337,3.154624876,-0.893471208
186,Stock,37,10,10,28.1,8365,10194,4.419,4.861,9.28,"190,753",18,519,453,3.657268978,-0.911660981
187,Orebro,37,11,10,13,4750,5307,0.214,3.318,3.532,"121,530",3.9,499,254,1.462591827,-1.005609686
188,Soderml,37,12,10,16.9,5743,9081,1.968,0.454,2.422,"111,833",10,463,361,3.657268978,-0.911660981
189,Skara,37,13,10,21.3,17199,13207,0,5.352,5.352,"175,175",57.1,382,170,0,0
190,Alvsb,37,14,10,17,9538,6704,0.484,1.695,2.179,"210,259",13.9,352,101,3.657268978,-0.911660981
191,Goteborg,37,15,10,29.5,13139,12924,0.188,0.376,0.564,"157,012",4.7,381,44,1.396316619,2.887332404
192,Ostergl,37,16,10,16.9,7642,6734,1.374,3.52,4.894,"197,045",55,375,302,3.657268978,-0.911660981
193,Kalmar,37,17,10,14.9,6631,8033,0,0.941,0.941,"174,011",27.9,237,323,3.657268978,-0.911660981
194,Jonk,37,18,10,13.5,8201,8914,0.841,0.654,1.495,"144,853",30.1,269,217,3.657268978,-0.911660981
195,Halland,37,19,10,16.3,11172,9653,0,0,0,"93,355",20.8,208,107,1.05374808,3.462937462
196,Kronob,37,20,10,12.1,5068,7553,2.545,3.182,5.727,"114,156",50.7,184,224,3.657268978,-0.911660981
197,Kristian,37,21,10,25,13607,12568,0.158,1.266,1.424,"157,933",44.6,103,170,-3.194101806,10.60044019
198,Blek,37,22,10,29.7,10270,10880,4.582,0.655,5.237,"90,801",81.8,120,263,2.835104484,0.469791159
199,Malmo,37,23,10,41.5,25635,13482,0,0,0,"209,584",29.3,58,136,-3.194101806,10.60044019
200,Norrb,38,1,11,0.5,167,281,0,0.151,0.151,"49,328",2.3,1439,513,-5.108696594,-3.057622193
201,Vasterb,38,2,11,0.9,351,974,0.118,0.169,0.287,"54,603",9,1179,415,-5.309734561,-3.355977912
202,Jamt,38,3,11,0.8,230,1271,0.111,0.444,0.555,"45,769",1.6,976,222,-4.993817756,-2.887133211
203,Vastern,38,4,11,3.7,1260,2876,0.087,0.736,0.823,"85,875",10,962,387,-4.781058813,-2.548038063
204,Gavle,38,5,11,5.6,1733,4792,1.974,1.114,3.088,"109,797",14.2,756,336,-4.062374376,-1.464477498
205,Koppar,38,6,11,4.5,2204,4105,0.362,0.592,0.954,"138,141",5,696,221,-5.0056477,-2.88665074
206,Varm,38,7,11,10.1,4671,3882,2.63,3.61,6.24,"195,546",35.8,564,140,-3.511004297,-2.628673034
207,Upps,38,8,11,11.8,7940,8482,2.637,4.302,6.939,"85,294",48.3,588,422,3.657268978,-0.911660981
208,Vastml,38,9,11,14,6569,5178,3.326,1.966,5.292,"92,494",34.2,557,337,3.154624876,-0.893471208
209,Stock,38,10,11,28.6,8458,10930,4.271,2.946,7.217,"194,440",11.5,519,453,3.657268978,-0.911660981
210,Orebro,38,11,11,13.4,4949,5232,0.107,0.107,0.214,"125,061",4.5,499,254,1.462591827,-1.005609686
211,Soderml,38,12,11,17.4,6006,9101,1.211,1.665,2.876,"114,920",12.3,463,361,3.657268978,-0.911660981
212,Skara,38,13,11,22,17674,9872,0,1.703,1.703,"181,048",2.2,382,170,0,0
213,Alvsb,38,14,11,17.6,9686,6948,0.323,0.969,1.292,"218,618",7.3,352,101,3.657268978,-0.911660981
214,Goteborg,38,15,11,31,12227,12905,0.376,0.752,1.128,"164,974",17.3,381,44,1.396316619,2.887332404
215,Ostergl,38,16,11,17.7,8011,6851,1.03,1.803,2.833,"206,625",44.2,375,302,3.657268978,-0.911660981
216,Kalmar,38,17,11,15.8,6751,7412,0,0.257,0.257,"184,557",41.8,237,323,3.657268978,-0.911660981
217,Jonk,38,18,11,14.1,7755,8711,0.747,1.962,2.709,"150,477",26.7,269,217,3.657268978,-0.911660981
218,Halland,38,19,11,16.6,11832,9703,0,0,0,"94,934",10.3,208,107,1.05374808,3.462937462
219,Kronob,38,20,11,12.9,5286,7428,1.167,0,1.167,"121,454",44,184,224,3.657268978,-0.911660981
220,Kristian,38,21,11,26.3,13972,12112,0,0,0,"165,880",49.4,103,170,-3.194101806,10.60044019
221,Blek,38,22,11,31.4,9052,8160,2.946,2.618,5.564,"95,807",61.5,120,263,2.835104484,0.469791159
222,Malmo,38,23,11,43.9,26179,13454,0,0,0,"221,670",47.1,58,136,-3.194101806,10.60044019
223,Norrb,39,1,12,0.5,167,281,0,0.198,0.198,"49,328",4.1,1439,513,-5.108696594,-3.057622193
224,Vasterb,39,2,12,0.9,351,974,0.186,0.067,0.253,"54,603",6.3,1179,415,-5.309734561,-3.355977912
225,Jamt,39,3,12,0.8,230,1271,0.111,0.628,0.739,"45,769",1.9,976,222,-4.993817756,-2.887133211
226,Vastern,39,4,12,3.7,1260,2876,0.26,0.606,0.866,"85,875",7,962,387,-4.781058813,-2.548038063
227,Gavle,39,5,12,5.6,1733,4792,1.164,0.861,2.025,"109,797",10.3,756,336,-4.062374376,-1.464477498
228,Koppar,39,6,12,4.5,2204,4105,1.085,0.493,1.578,"138,141",8.4,696,221,-5.0056477,-2.88665074
229,Varm,39,7,12,10.1,4671,3882,2.837,4.539,7.376,"195,546",30.1,564,140,-3.511004297,-2.628673034
230,Upps,39,8,12,11.8,7940,8482,1.665,2.498,4.163,"85,294",35.7,588,422,3.657268978,-0.911660981
